Sitio;Zona del Estuario;Franja Intermareal;Año;UI;Salinidad;Temperatura;Riqueza;Abundancia;Shannon_H;Equitatividad
EC;EXTERNA;BAJA;2022;Medio;29.4;21.5;16;2937;1.849;0.667
EC;EXTERNA;BAJA;2022;Medio;29.4;21.5;16;2018;1.769;0.638
EC;EXTERNA;BAJA;2022;Medio;29.4;21.5;15;758;2.023;0.747
PD;EXTERNA;ALTA;2022;Bajo;29.4;18.8;3;23;0.876;0.798
PD;EXTERNA;ALTA;2022;Bajo;29.4;18.8;3;193;0.339;0.309
PD;EXTERNA;ALTA;2022;Bajo;29.4;18.8;3;16;0.703;0.640
PD;EXTERNA;MEDIA;2022;Bajo;29.4;18.8;13;674;1.724;0.672
PD;EXTERNA;MEDIA;2022;Bajo;29.4;18.8;13;514;1.888;0.736
PD;EXTERNA;MEDIA;2022;Bajo;29.4;18.8;12;501;1.915;0.771
PD;EXTERNA;BAJA;2022;Bajo;29.4;18.8;15;1554;1.695;0.626
PD;EXTERNA;BAJA;2022;Bajo;29.4;18.8;16;1298;1.635;0.590
PD;EXTERNA;BAJA;2022;Bajo;29.4;18.8;19;1179;1.631;0.554
EB;EXTERNA;ALTA;2022;Bajo;28.9;21.8;3;415;0.369;0.336
EB;EXTERNA;ALTA;2022;Bajo;28.9;21.8;3;495;0.261;0.237
EB;EXTERNA;ALTA;2022;Bajo;28.9;21.8;3;1301;0.242;0.220
EB;EXTERNA;MEDIA;2022;Bajo;28.9;21.8;15;1375;1.921;0.709
EB;EXTERNA;MEDIA;2022;Bajo;28.9;21.8;14;1688;1.582;0.599
EB;EXTERNA;MEDIA;2022;Bajo;28.9;21.8;12;1188;1.105;0.445
EB;EXTERNA;BAJA;2022;Bajo;28.9;21.8;15;673;1.797;0.663
EB;EXTERNA;BAJA;2022;Bajo;28.9;21.8;18;2427;1.777;0.615
EB;EXTERNA;BAJA;2022;Bajo;28.9;21.8;15;1657;1.480;0.547
